N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,9088,0,0.11077779031517188,0.09912439999999913,0.399,0.1568,0.09595877551020188,0.06274734693877537,0.28306219631679586,2.9005056124984057
150000,5000,7836,0,0.13742495371311236,0.09705127999999878,0.3784,0.1605,0.09492767346938566,0.05227151020408146,0.4532272920188588,1.6792806503476698
150000,5000,11312,0,0.15925470059316027,0.09695727999999909,0.3443,0.1535,0.09047779591836574,0.05015804081632632,0.6488571328457836,1.6968864575417262
150000,5000,4570,0,0.17907288063994276,0.09780135999999835,0.4216,0.18,0.09599216326530317,0.04019583673469398,0.0727456307883059,0.0009235376303101692
150000,5000,8442,0,0.1007085261721864,0.09419191999999849,0.3781,0.1776,0.09141493877550844,0.06249681632653097,0.3039991504830181,2.1095244594385973
150000,5000,8713,0,0.1078728256364001,0.09499559999999822,0.3999,0.1685,0.09517240816326308,0.05782016326530489,0.2418997243984197,1.9658449335250514
150000,5000,8040,0,0.13615006603138258,0.09606263999999859,0.4018,0.1422,0.09473208163265054,0.05134669387755159,0.2054385827303329,2.259229940864164
150000,5000,8472,0,0.27960455669460405,0.1026409599999983,0.3773,0.0729,0.09443093877550836,0.02113926530612264,0.44362125609280234,1.091301778250136
150000,5000,10369,0,0.16639322226896625,0.10314527999999838,0.3834,0.1588,0.09638448979591611,0.05104881632653082,0.46190126843719503,1.6101717416695396
150000,5000,9965,0,0.3453089857556021,0.1025399999999988,0.3887,0.0002,0.0997897959183648,1.1836734693877552e-05,0.5494441413408101,-1.3111265291648486
150000,5000,9238,0,0.1129684587845805,0.09597311999999909,0.3545,0.2002,0.09145379591836521,0.06152661224489807,0.5699601739758983,1.378920100298008
150000,5000,7775,0,0.12444477131411813,0.10088287999999873,0.3884,0.1641,0.0949128163265285,0.06219322448979602,0.3465889742222852,2.5535292265822735
150000,5000,5358,0,0.11575646052807764,0.10277407999999859,0.4193,0.2104,0.09960399999999678,0.06329412244897896,0.23464943662974047,1.2724384523886592
150000,5000,7537,0,0.09891470557184634,0.09513471999999827,0.4104,0.1704,0.09286653061224223,0.06315012244897895,0.04972299188609849,2.4160348306313533
150000,5000,10050,0,0.12468643575793459,0.10027103999999877,0.3917,0.1532,0.09804669387754797,0.058029877551020424,0.44412597485553845,2.549718043678874
150000,5000,7593,0,0.10873193219959476,0.0926286399999991,0.373,0.1641,0.09124824489795724,0.057673142857142694,0.3509207242119286,2.101909617227028
150000,5000,8875,0,0.2157944901571751,0.09700247999999899,0.3731,0.1042,0.09233787755101823,0.032798204081632545,0.3977811438826176,1.4986717433383925
150000,5000,6116,0,0.2112229142848281,0.10807439999999813,0.4116,0.1559,0.1033707755102018,0.0373904489795917,0.45781896920401766,0.27185231498513346
150000,5000,8630,0,0.2080682829307049,0.10092311999999837,0.4034,0.1048,0.0956359999999975,0.03668138775510125,0.22687097262558267,2.076033810627629
150000,5000,5730,0,0.13695471338949272,0.10129111999999818,0.4315,0.1476,0.10071722448979258,0.053059918367348066,0.16675179848466037,2.2331345355425594
150000,5000,7986,0,0.27358506287883533,0.09900551999999803,0.4104,0.1037,0.09295861224489517,0.01998097959183623,0.05340607700431292,-0.5007053630337128
150000,5000,8234,0,0.17809703595678905,0.10295831999999869,0.3903,0.0935,0.09846114285714061,0.045197224489795206,0.4762927738634094,4.258916778306802
150000,5000,7269,0,0.12142053193830538,0.10162607999999831,0.4205,0.1846,0.10037722448979278,0.058861142857142536,0.25370702808318263,1.5678519719717132
150000,5000,5845,0,0.1224983929654716,0.094192159999999,0.3841,0.1565,0.09527314285714097,0.05199436734693823,0.40688890186560334,1.7866298846425581
150000,5000,7384,0,0.12245117165050667,0.09709607999999838,0.385,0.1769,0.09414857142856901,0.05767371428571357,0.34942628005727644,1.685253030141262
150000,5000,8325,0,0.14866200352645886,0.0988131199999989,0.3808,0.1032,0.09672734693877331,0.04974457142857072,0.504851471762351,4.237824333905939
150000,5000,10064,0,0.2062968463689916,0.10148295999999885,0.3811,0.1321,0.09840824489795683,0.03513657142857131,0.573966974518335,0.7002768397238244
150000,5000,8007,0,0.2828620279475057,0.09510591999999896,0.3759,0.1244,0.09516751020407943,0.01116359183673475,0.4910831379145977,-2.1877211665768477
150000,5000,10592,0,0.26164455059426084,0.10222895999999894,0.3789,0.0435,0.09805265306122236,0.02160277551020415,0.5831695692009178,4.457871448940756
150000,5000,5799,0,0.15857864403116606,0.09549815999999858,0.4047,0.1475,0.09443232653061004,0.04427934693877581,0.1655486426682619,1.2613053374298093
150000,5000,10243,0,0.1560179955374933,0.09579991999999904,0.3698,0.0941,0.093223755102039,0.04665885714285774,0.473348452231925,4.462851046366055
150000,5000,9320,0,0.3445897739543631,0.10515399999999758,0.4184,0.0006,0.10244791836734407,6.514285714285715e-05,0.3546148593684072,-1.3077812841843286
150000,5000,6761,0,0.07737113361084236,0.09912631999999856,0.4092,0.1878,0.09794546938775253,0.07183224489795934,0.26435863839620594,2.6115182330763567
150000,5000,9052,0,0.1404316312669247,0.09578879999999856,0.3949,0.0969,0.09651053061224259,0.047885714285714094,0.34698100336069265,4.436000061963028
150000,5000,9466,0,0.14457695404567972,0.09688503999999883,0.4136,0.0911,0.09914710204081364,0.045670938775509665,0.27025287852681806,4.552128473023474
150000,5000,5008,0,0.11698029532745857,0.10056671999999835,0.4082,0.1804,0.09556808163265054,0.0634363265306126,0.17838060794589353,2.1054203961849236
150000,5000,5946,0,0.10484378165038333,0.09818695999999877,0.3943,0.1536,0.09381738775510001,0.06528685714285735,0.24096971336780715,3.3080969772423248
150000,5000,7423,0,0.12957745438103296,0.10257431999999833,0.4055,0.1533,0.09837681632652831,0.059705306122448676,0.31766911501637807,2.724838252767442
150000,5000,12365,0,0.32998059420663206,0.10040215999999916,0.361,0.0409,0.09346710204081451,0.007694367346938805,0.585266190484261,-0.5725799067421687
150000,5000,7779,0,0.23743323823954343,0.0958001599999985,0.3892,0.0778,0.09411877551020185,0.02395469387755128,0.3048559301574675,1.3848592967843183
150000,5000,7776,0,0.14333153137025423,0.09119767999999832,0.3915,0.1415,0.09093118367346711,0.04573289795918389,0.14788995921491768,1.6382049033227246
150000,5000,6199,0,0.06503414030825438,0.10477063999999871,0.4168,0.2229,0.09907330612244628,0.08487755102040806,0.23713653458308323,2.5842409655570204
