==================================================================
fastsimcoal started on 26/06/2025 at 14:44:46

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
176	1	data unknown	125.16	0	0
177	1	data unknown	565.414	0	0
178	1	data unknown	1822.98	0	0
179	1	data unknown	2014.31	0	0
180	1	data unknown	921.154	0	0
181	1	data unknown	1265.45	0	0
182	1	data unknown	63.0188	0	0
183	1	data unknown	2351.76	0	0
184	1	data unknown	563.961	0	0
185	1	data unknown	1203.53	0	0
186	1	data unknown	971.706	0	0
187	1	data unknown	2336.59	0	0
188	1	data unknown	638.901	0	0
189	1	data unknown	1798.61	0	0
190	1	data unknown	1486.98	0	0
191	1	data unknown	944.225	0	0
192	1	data unknown	825.657	0	0
193	1	data unknown	2414.93	0	0
194	1	data unknown	559.822	0	0
195	1	data unknown	990.387	0	0
196	1	data unknown	1585.92	0	0
197	1	data unknown	1829.46	0	0
198	1	data unknown	4045.91	0	0
199	1	data unknown	1906.29	0	0
200	1	data unknown	591.743	0	0
201	1	data unknown	883.373	0	0
202	1	data unknown	569.298	0	0
203	1	data unknown	707.554	0	0
204	1	data unknown	1641.84	0	0
205	1	data unknown	571.171	0	0
206	1	data unknown	2858.61	0	0
207	1	data unknown	2034.81	0	0
208	1	data unknown	668.026	0	0
209	1	data unknown	1124.75	0	0
210	1	data unknown	2937.46	0	0
211	1	data unknown	1008.01	0	0
212	1	data unknown	5320.18	0	0
213	1	data unknown	1765.41	0	0
214	1	data unknown	1936.41	0	0
215	1	data unknown	1397.58	0	0
216	1	data unknown	2947.1	0	0
217	1	data unknown	3276.09	0	0
218	1	data unknown	1631.72	0	0
219	1	data unknown	2109.48	0	0
220	1	data unknown	962.41	0	0
221	1	data unknown	1211.92	0	0
222	1	data unknown	664.036	0	0
223	1	data unknown	551.582	0	0
224	1	data unknown	1334.54	0	0
225	1	data unknown	1271.39	0	0
226	1	data unknown	773.43	0	0
227	1	data unknown	664.459	0	0
228	1	data unknown	1860.94	0	0
229	1	data unknown	953.609	0	0
230	1	data unknown	676.083	0	0
231	1	data unknown	3772.17	0	0
232	1	data unknown	624.588	0	0
233	1	data unknown	762.669	0	0
234	1	data unknown	2242.93	0	0
235	1	data unknown	1866.78	0	0
236	1	data unknown	594.91	0	0
237	1	data unknown	1508.87	0	0
238	1	data unknown	683.361	0	0
239	1	data unknown	894.344	0	0
240	1	data unknown	675.831	0	0
241	1	data unknown	1892.32	0	0
242	1	data unknown	2478.88	0	0
243	1	data unknown	502.487	0	0
